0.03604	-0.01498
0.03599	-0.0141
0.03591	-0.01322
0.03576	-0.01235
0.03556	-0.0115
0.0353	-0.01065
0.03498	-0.00983
0.03461	-0.00903
0.03419	-0.00826
0.03371	-0.00752
0.03318	-0.00681
0.03261	-0.00614
0.032	-0.00551
0.03134	-0.00492
0.03064	-0.00438
0.02991	-0.00389
0.02915	-0.00345
0.02836	-0.00306
0.02754	-0.00272
0.02671	-0.00244
0.02585	-0.00222
0.02499	-0.00203
0.02413	-0.00184
0.02327	-0.00166
0.0224	-0.0015
0.02153	-0.00134
0.02066	-0.00119
0.01979	-0.00105
0.01892	-9.25499E-4
0.01805	-8.06641E-4
0.01717	-6.97421E-4
0.0163	-5.97853E-4
0.01542	-5.07947E-4
0.01454	-4.27716E-4
0.01366	-3.57168E-4
0.01278	-2.96313E-4
0.0119	-2.45158E-4
0.01102	-2.03709E-4
0.01014	-1.71373E-4
0.00926	-1.42867E-4
0.00838	-1.16952E-4
0.00749	-9.36274E-5
0.00661	-7.28941E-5
0.00573	-5.47521E-5
0.00485	-3.92016E-5
0.00397	-2.62426E-5
0.00309	-1.58752E-5
0.0022	-8.09964E-6
0.00132	-2.91588E-6
4.40899E-4	-3.23987E-7
-4.40899E-4	-3.23987E-7
-0.00132	-2.91588E-6
-0.0022	-8.09964E-6
-0.00309	-1.58752E-5
-0.00397	-2.62426E-5
-0.00485	-3.92016E-5
-0.00573	-5.47521E-5
-0.00661	-7.28941E-5
-0.00749	-9.36274E-5
-0.00838	-1.16952E-4
-0.00926	-1.42867E-4
-0.01014	-1.71373E-4
-0.01102	-2.03709E-4
-0.0119	-2.45158E-4
-0.01278	-2.96313E-4
-0.01366	-3.57168E-4
-0.01454	-4.27716E-4
-0.01542	-5.07947E-4
-0.0163	-5.97853E-4
-0.01717	-6.97421E-4
-0.01805	-8.06641E-4
-0.01892	-9.25499E-4
-0.01979	-0.00105
-0.02066	-0.00119
-0.02153	-0.00134
-0.0224	-0.0015
-0.02327	-0.00166
-0.02413	-0.00184
-0.02499	-0.00203
-0.02585	-0.00222
-0.02671	-0.00244
-0.02754	-0.00272
-0.02836	-0.00306
-0.02915	-0.00345
-0.02991	-0.00389
-0.03064	-0.00438
-0.03134	-0.00492
-0.032	-0.00551
-0.03261	-0.00614
-0.03318	-0.00681
-0.03371	-0.00752
-0.03419	-0.00826
-0.03461	-0.00903
-0.03498	-0.00983
-0.0353	-0.01065
-0.03556	-0.0115
-0.03576	-0.01235
-0.03591	-0.01322
-0.03599	-0.0141
-0.03604	-0.01498
